ID,SciName,CommonName,Species,Substrate,XG,Trt_ID,Block,DatePlanted,Survival,DateMeasured_Initial,TotalStems_Initial,Height_cm_Initial,Condition_1-5_Initial,Notes_InitialMeasurement,DateMeasured_Mid,NumGreenStems_Mid,NumBrownStems_Mid,TotalStems_Mid,Height_cm_Mid,Diameter_mm_Mid,Condition_1-5_Mid,Notes_Mid,DateMeasured_Spring,NumGreenStems_Spring,NumBrownStems_Spring,TotalStems_Spring,Height_cm_Spring,Diameter_mm_Spring,Condition_1-5_Spring,Notes_Spring,DateMeasured_June,NumGreenStems_June,NumBrownStems_June,TotalStems_June,Height_cm_June,Diameter_mm_June,Condition_1-5_June,Notes_June,DateMeasured_August,WoodyStems_August,Height_cm_August,Diameter_mm_August,Condition_1-5_August,Notes_August,DateMeasured_September,WoodyStems_September,Height_cm_September,Diameter_mm_September,Condition_1-5_September,Notes_September,DateMeasured_WM,AGWetmass_g,AGCorrectedWetmass_g,BGWetmass_g,Notes_WM,DeadRemoved_g,BGRinseweight_g,BGCorrectedWetmass_g,Subsample_g,BGPredryCorrected_g,Subsampled_by,TotWetmassCorrected_g,TotPredryCorrected_g,DateMeasured_DM_BG,BGDrymass_Dirty_g,BGDrymass_Clean_g,BGContamination_g,BGDryWetRatio,BGDrySubsample_Estimated_g,BGFullDrymass_Estimated_g,DateMeasured_DM_AG,AGDrymass_Dirty_g,AGDrymass_Clean_g,AGContamination_g,AGDryWetRatio,TotDrymass_Estimated_g,Notes_DM
44,Shoenoplectus californicus,Giant bulrush,GB,M,N,M-N-44,3,11/14/2023,Alive,12/20/2022,8,156.7,3,aphids,2/14/2023,6,5,11,103.4,,4,surface algae,4/5/2023,8,4,12,264.5,,5,"green surface growth, lamp damage",,,,,,,,,,,,,,,,,,,,,4/12/2023,358,358,183,,15,144,142,2,141,EM,501,499,4/25/2023,24,22,2,0,0,22,,51,51,0,0,73,
46,Shoenoplectus californicus,Giant bulrush,GB,G,N,G-N-46,3,11/14/2023,Alive,12/20/2022,4,161.8,2,,2/14/2023,3,4,7,120,,3,,4/5/2023,5,3,8,200,,5,,,,,,,,,,,,,,,,,,,,,,4/12/2023,76,76,54,,30,19,19,2,17,IY,95,93,4/25/2023,1,1,0,0,0,1,,11,10,0,0,12,
52,Shoenoplectus californicus,Giant bulrush,GB,D,N,D-N-52,4,11/14/2023,Alive,12/20/2022,7,150.5,3,,2/14/2023,6,3,9,227.5,,4,surface algae,4/5/2023,9,1,10,235.4,,4,"no white out, measured from soil. some surface growth",,,,,,,,,,,,,,,,,,,,,4/12/2023,360,360,144,,11,116,115,2,114,IY,475,473,4/26/2023,17,17,1,0,0,17,,52,52,0,0,69,
54,Shoenoplectus californicus,Giant bulrush,GB,G,N,G-N-54,4,11/14/2023,Alive,12/20/2022,5,115.5,4,,2/14/2023,5,1,6,174.8,,4,,4/5/2023,6,2,8,218.6,,4,,,,,,,,,,,,,,,,,,,,,,9/15/2023,167,167,116,,6,115,108,2,107,SVB,275,274,4/26/2023,23,16,7,0,0,16,,27,27,0,0,43,
60,Shoenoplectus californicus,Giant bulrush,GB,G,N,G-N-60,5,11/14/2023,Alive,12/20/2022,14,139.7,3,,2/14/2023,12,3,15,171.1,,4,,4/5/2023,19,8,27,190.7,,4,skinny shoots,,,,,,,,,,,,,,,,,,,,,4/12/2023,222,222,331,3 grubs inside,28,277,267,28,240,SVB,489,461,4/25/2023,51,41,10,0,5,45,,39,39,0,0,84,
61,Shoenoplectus californicus,Giant bulrush,GB,G,N,G-N-61,6,11/14/2023,Alive,12/20/2022,4,121.5,3,,2/14/2023,4,2,6,156,,3,,4/5/2023,4,2,6,245.4,,3,,,,,,,,,,,,,,,,,,,,,,4/12/2023,110,110,89,,0,,86,1,84,EM,195,194,4/25/2023,17,14,3,0,0,15,,17,17,0,0,31,
64,Shoenoplectus californicus,Giant bulrush,GB,D,N,D-N-64,6,11/14/2023,Alive,12/20/2022,4,158.3,2,,2/14/2023,2,4,6,79.6,,2,surface algae,4/5/2023,3,2,5,148.3,,3,"measured from soil, flat green on surface",,,,,,,,,,,,,,,,,,,,,4/12/2023,41,41,54,small,18,,54,0,54,SVB,95,95,4/25/2023,4,4,0,0,0,4,,4,4,0,0,8,
65,Shoenoplectus californicus,Giant bulrush,GB,M,N,M-N-65,6,11/14/2023,Alive,12/20/2022,6,146.2,5,,2/14/2023,9,0,9,218.2,,5,surface algae,4/5/2023,11,1,12,249.5,,4,"lamp damage, dark and green on surface",,,,,,,,,,,,,,,,,,,,,4/12/2023,438,438,288,grub,0,,270,2,269,,708,707,4/25/2023,65,47,18,0,0,47,,74,74,0,0,121,
70,Shoenoplectus californicus,Giant bulrush,GB,G,N,G-N-70,7,11/14/2023,Alive,12/20/2022,3,157.6,2,,2/14/2023,4,2,6,144.5,,3,,4/5/2023,4,2,6,219.6,,5,,,,,,,,,,,,,,,,,,,,,,4/12/2023,127,127,103,,0,,102,2,100,,229,227,4/25/2023,18,17,1,0,0,17,,21,21,0,0,38,
71,Shoenoplectus californicus,Giant bulrush,GB,M,N,M-N-71,7,11/14/2023,Alive,12/20/2022,7,162.7,3,,2/14/2023,9,4,13,200.2,,4,surface algae,4/5/2023,14,1,15,234.8,,5,"herbivory, dark and green surface growth",,,,,,,,,,,,,,,,,,,,,4/12/2023,350,349,180,grub,0,,174,2,172,,523,522,4/25/2023,25,19,6,0,0,20,,58,58,0,0,78,
78,Shoenoplectus californicus,Giant bulrush,GB,M,N,M-N-78,8,11/14/2023,Dead,12/20/2022,4,141.7,2,,2/14/2023,0,4,4,,,1,"surface algae, looks dead",4/5/2023,,,0,,,,dead,,,,,,,,,,,,,,,,,,,,,4/12/2023,0,0,0,nothing to measure,,,0,0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0,dead--no bag
90,Shoenoplectus californicus,Giant bulrush,GB,D,N,D-N-90,7,11/14/2023,Alive,12/20/2022,12,146,4,,2/14/2023,13,3,16,225,,4,surface algae ,4/5/2023,18,4,22,260.4,,4,,,,,,,,,,,,,,,,,,,,,,4/13/2023,497,496,400,"grub, grub",5,,389,2,387,EM,885,884,4/25/2023,71,60,11,0,0,60,,91,90,0,0,151,
91,Shoenoplectus californicus,Giant bulrush,GB,G,N,G-N-91,8,11/14/2023,Alive,12/20/2022,6,152,5,,2/14/2023,9,0,9,168.6,,5,,4/5/2023,10,2,12,225.5,,4,,,,,,,,,,,,,,,,,,,,,,4/13/2023,205,204,225,grub in rhizome,22,157,155,1,154,EM,360,358,4/25/2023,31,29,2,0,0,30,,38,38,0,0,68,
94,Shoenoplectus californicus,Giant bulrush,GB,D,N,D-N-94,8,11/14/2023,Alive,12/20/2022,6,201.3,3,,2/14/2023,8,2,10,201,,4,surface algae ,4/5/2023,11,2,13,252.3,,4,herbivory,,,,,,,,,,,,,,,,,,,,,4/13/2023,285,285,281,,44,138,138,2,137,EM,423,422,4/25/2023,25,25,0,0,0,26,,49,49,0,0,75,
104,Shoenoplectus californicus,Giant bulrush,GB,D,N,D-N-104,10,11/14/2023,Alive,12/20/2022,4,133,3,,2/14/2023,2,3,5,127.5,,2,"1 brown broke off, surface algae",4/5/2023,6,1,7,251.9,,5,,,,,,,,,,,,,,,,,,,,,,4/13/2023,161,161,92,,14,59,58,1,57,EM,220,219,4/25/2023,10,10,0,0,0,10,,20,20,0,0,30,
110,Shoenoplectus californicus,Giant bulrush,GB,M,N,M-N-110,9,11/14/2023,Alive,12/20/2022,10,139.6,4,,2/14/2023,10,3,13,230.8,,4,surface algae ,4/5/2023,12,3,15,253.1,,4,"some herbivory, light damage",,,,,,,,,,,,,,,,,,,,,4/13/2023,299,298,182,,2,164,160,2,159,SVB,458,457,4/26/2023,31,28,3,0,0,28,,51,50,1,0,78,
113,Shoenoplectus californicus,Giant bulrush,GB,G,N,G-N-113,9,11/14/2023,Dead,12/20/2022,5,203.2,2,,2/14/2023,0,5,5,,,1,1 brown broke off,4/5/2023,0,5,5,,,,dead for a while now,,,,,,,,,,,,,,,,,,,,,4/13/2023,0,0,0,"nothing to measure, never grew",,,0,0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0,dead--no bag
114,Shoenoplectus californicus,Giant bulrush,GB,D,N,D-N-114,9,11/14/2023,Alive,12/20/2022,4,148.2,4,,2/14/2023,6,0,6,226,,5,surface algae ,4/5/2023,7,0,7,282.3,,4,,,,,,,,,,,,,,,,,,,,,,4/13/2023,345,345,163,,14,145,143,2,142,SVB,488,486,4/25/2023,17,16,1,0,0,16,,52,52,0,0,68,
118,Shoenoplectus californicus,Giant bulrush,GB,G,N,G-N-118,10,11/14/2023,Alive,12/20/2022,10,148.7,4,aphids,2/14/2023,9,2,11,151.3,,4,1 brown broke off,4/5/2023,10,3,13,225.7,,4,some lamp damage,,,,,,,,,,,,,,,,,,,,,4/16/2023,256,256,162,,0,,162,2,160,,417,416,4/25/2023,30,30,1,0,0,30,,48,48,0,0,77,
120,Shoenoplectus californicus,Giant bulrush,GB,M,N,M-N-120,10,11/14/2023,Alive,12/20/2022,7,143.6,4,aphids,2/14/2023,7,3,10,154.6,,4,"1 brown broke off, surface algae ",4/5/2023,8,1,9,269.2,,4,,,,,,,,,,,,,,,,,,,,,,4/16/2023,232,232,92,,0,,92,2,91,,324,323,4/25/2023,12,12,0,0,0,12,,37,37,0,0,48,
1,Taxodium distichum,Baldcypress,BC,M,N,M-N-1,1,11/14/2023,Alive,12/20/2022,1,34.9,4,,2/14/2023,9,0,9,34,3.4,4,,4/5/2023,1,0,1,34,3.31,2,lots of surface growth. green & black,6/14/2023,3,0,3,64,4.3,5,,8/16/2023,3,123.1,9.43,5,,9/6/2023,5,142.6,11.61,5,,9/13/2023,115,115,63,,0,,60,1,59,EM,174,173,10/3/2023,13,10,3,0,0,10,10/2/2023,34,34,0,0,44,
10,Taxodium distichum,Baldcypress,BC,G,N,G-N-10,2,11/14/2023,Alive,12/20/2022,,30.3,4,webbing on leaves,2/14/2023,14,4,18,29.8,2.9,3,,4/5/2023,11,1,12,36.4,2.7,5,some green are buds,6/14/2023,2,0,2,88,6.13,5,,8/16/2023,17,104.9,9.95,5,Mostly small branches but brown G2/BC2,9/6/2023,20,105.4,11.5,5,,9/13/2023,108,108,115,chunky roots,0,,109,1,108,EM,217,216,10/4/2023,35,29,6,0,0,29,10/2/2023,41,41,0,0,70,
12,Taxodium distichum,Baldcypress,BC,M,N,M-N-12,2,11/14/2023,Alive,12/20/2022,1,23.7,4,,2/14/2023,0,11,11,23.9,2.4,1,,4/5/2023,2,0,2,23.8,2.88,5,"small buds, surface growth",6/14/2023,1,0,1,66.6,4.2,5,,8/16/2023,8,105.1,9.1,5,,9/6/2023,15,115.2,11.61,5,,9/13/2023,82,82,47,,0,,46,1,45,EM,128,127,10/4/2023,10,10,1,0,0,10,10/2/2023,30,30,0,0,40,
13,Taxodium distichum,Baldcypress,BC,G,N,G-N-13,1,11/14/2023,Alive,12/20/2022,1,24.6,4,webbing in branches,2/14/2023,0,8,8,25.1,2.5,1,,4/5/2023,16,0,16,27.7,2.69,5,12 buds,6/14/2023,14,0,14,79.3,6.7,5,,8/16/2023,27,117.5,12.89,5,,9/6/2023,33,117.8,15.02,5,,9/13/2023,148,148,116,chunky roots,0,,113,1,112,EM,261,260,10/4/2023,28,24,4,0,0,25,10/2/2023,51,51,0,0,75,
14,Taxodium distichum,Baldcypress,BC,D,N,D-N-14,1,11/14/2023,Alive,12/20/2022,,33,3,,2/14/2023,1,8,9,33.2,2.4,2,,4/5/2023,0,0,0,32.8,2.5,,dark surface growth,6/14/2023,1,0,1,67.3,4.09,5,,8/16/2023,1,119.6,9.17,5,,9/6/2023,4,142.1,10.78,4,Browning,9/13/2023,77,77,24,pale/browning,0,,24,1,23,EM,101,100,10/4/2023,7,6,0,0,0,7,10/2/2023,24,24,0,0,31,
22,Taxodium distichum,Baldcypress,BC,D,N,D-N-22,2,11/14/2023,Alive,12/20/2022,,31,4,,2/14/2023,13,3,16,31.3,2.6,2,,4/5/2023,1,15,16,31.2,2.44,3,moss/lichen coverage,6/14/2023,1,0,1,70.9,4.91,5,,8/16/2023,5,134.2,10.09,5,D2,9/6/2023,8,151.8,12.27,5,,9/13/2023,112,112,43,,0,,42,1,41,EM,154,153,10/4/2023,12,12,1,0,0,12,10/2/2023,34,34,0,0,46,
28,Taxodium distichum,Baldcypress,BC,M,N,M-N-28,3,11/14/2023,Alive,12/20/2022,,29.7,4,,2/14/2023,11,3,14,30.9,2.5,3,,4/5/2023,5,6,11,30.6,2.7,5,some surface growth,6/14/2023,7,0,7,88.6,7.03,5,,8/16/2023,15,141.2,12.47,5,,9/6/2023,19,154,14.19,5,,9/13/2023,181,181,121,,0,,118,1,117,EM,300,299,10/4/2023,31,28,3,0,0,28,10/2/2023,60,60,0,0,88,BG in bag 10/3/23 94.23 g
30,Taxodium distichum,Baldcypress,BC,D,N,D-N-30,3,11/14/2023,Alive,12/20/2022,,33.8,2,,2/14/2023,3,6,9,33.9,2.2,2,,4/5/2023,2,0,2,33.6,2.33,5,full surface growth green and black,6/14/2023,1,0,1,74,3.61,5,,8/16/2023,0,123.7,7.91,5,,9/6/2023,0,136.6,9.85,5,,9/15/2023,50,50,21,,0,,21,1,20,EM,71,70,10/10/2023,5,5,0,0,0,5,10/3/2023,17,17,0,0,22,
31,Taxodium distichum,Baldcypress,BC,G,N,G-N-31,4,11/14/2023,Alive,12/20/2022,,42.1,4,,2/14/2023,14,6,20,41.8,2.6,2,,4/5/2023,12,6,18,42.6,2.53,4,,6/14/2023,4,0,4,68.5,5.42,5,,8/16/2023,12,111.1,10.25,5,G4,9/6/2023,14,122.9,11.9,5,,9/15/2023,124,124,103,chunky roots,0,,97,1,96,EM,221,220,10/10/2023,25,20,6,0,0,20,10/3/2023,46,46,0,0,66,
33,Taxodium distichum,Baldcypress,BC,M,N,M-N-33,4,11/14/2023,Alive,12/20/2022,,26.5,3,,2/14/2023,7,4,11,27.1,2.3,3,"appears to be branching, soil is fluffy and airated ",4/5/2023,3,5,8,26.4,2.34,2,some surface growth,6/14/2023,3,0,3,52.5,3.84,5,,8/16/2023,9,115.5,9.43,5,BC4,9/6/2023,9,134.7,11.5,5,,9/15/2023,130,130,71,kinda chunky roots,0,,69,1,68,EM,199,198,10/4/2023,16,14,2,0,0,14,10/3/2023,37,37,0,0,51,
36,Taxodium distichum,Baldcypress,BC,D,N,D-N-36,4,11/14/2023,Alive,12/20/2022,,36.3,4,,2/14/2023,6,2,8,36.6,2.4,4,stringy green growth,4/5/2023,0,0,0,36.6,2.34,,full moss/jelly lichen cover,6/14/2023,2,0,2,63,3.76,5,,8/16/2023,8,125.6,9.85,5,D4,9/6/2023,13,145.7,11.74,5,,9/15/2023,135,135,69,,0,,69,1,68,EM,204,203,10/11/2023,12,12,0,0,0,12,10/3/2023,41,41,0,0,54,
39,Taxodium distichum,Baldcypress,BC,G,N,G-N-39,5,11/14/2023,Alive,12/20/2022,,32.8,4,,2/14/2023,8,3,11,32.9,2.5,3,,4/5/2023,3,0,3,31.9,2.35,5,,6/14/2023,2,0,2,64.1,5.01,5,,8/16/2023,13,109,9.32,5,,9/6/2023,14,125.1,11.27,5,,9/15/2023,118,118,90,chunky roots,0,,88,1,86,EM,206,204,10/11/2023,22,20,2,0,0,20,10/3/2023,38,38,0,0,58,
40,Taxodium distichum,Baldcypress,BC,D,N,D-N-40,5,11/14/2023,Alive,12/20/2022,,27,3,,2/14/2023,8,1,9,27.4,1.9,4,squishy dark blobs. a lot of dark green on top of soil,4/5/2023,3,3,6,27.4,1.82,2,lots of Gelly lichen,6/14/2023,1,0,1,71.3,3.84,5,,8/16/2023,1,129.1,8.66,5,,9/6/2023,4,147.3,10.65,5,,9/15/2023,65,65,21,,0,,21,1,20,EM,86,84,10/11/2023,8,8,0,0,0,8,10/3/2023,23,23,0,0,31,
43,Taxodium distichum,Baldcypress,BC,G,N,G-N-43,3,11/14/2023,Alive,12/20/2022,,35.9,3,,2/14/2023,11,4,15,36.2,2.7,3,some branching from a leaf ,4/5/2023,3,0,3,36.7,2.49,5,,6/14/2023,9,0,9,73.4,5.67,5,,8/16/2023,12,99.1,10.9,5,,9/6/2023,17,104,12.79,4,Browning,9/15/2023,98,98,76,pale/browning,0,,73,1,71,EM,171,170,10/11/2023,21,18,3,0,0,18,10/3/2023,35,35,0,0,53,"BG in bag 10/11/23 76.85 g, subtracted weight of empty bag from most recent in bag weight to get dirty weight"
58,Taxodium distichum,Baldcypress,BC,M,N,M-N-58,5,11/14/2023,Alive,12/20/2022,,26.9,3,,2/14/2023,0,3,3,27.3,2.6,1,,4/5/2023,23,0,23,38,3.11,5,"mixed surface growth, 2 main stems now",6/14/2023,17,0,17,89.1,7.71,5,,8/16/2023,37,141,15,5,"Brown but springy ""branches""",9/6/2023,46,148.4,16.77,5,,9/15/2023,258,258,155,,0,,149,1,147,EM,406,405,10/11/2023,40,33,7,0,0,34,10/3/2023,87,87,0,0,121,BG in bag 10/11/23 95.54 g
72,Taxodium distichum,Baldcypress,BC,D,N,D-N-72,7,11/14/2023,Alive,12/20/2022,,28.8,3,,2/14/2023,0,2,2,29.2,2.1,1,"stringy green stuff, small sand pellets",4/5/2023,31,0,31,30.9,2.39,5,dark and green surface growth ,6/14/2023,2,0,2,36.3,6.65,5,,8/16/2023,1,171.1,13.22,5,,9/6/2023,3,191.1,14.91,5,,9/20/2023,151,151,83,,0,,82,1,81,EM,233,232,10/11/2023,23,22,1,0,0,23,10/3/2023,52,52,0,0,74,
75,Taxodium distichum,Baldcypress,BC,G,N,G-N-75,8,11/14/2023,Alive,12/20/2022,,26.5,3,,2/14/2023,10,0,10,26.7,2.4,4,,4/5/2023,7,4,11,26.7,2.37,3,about half old growth ,6/14/2023,6,0,6,67,5.62,5,,8/16/2023,17,110.9,11.63,5,G8,9/6/2023,24,111.1,13.11,5,,9/20/2023,148,148,141,"some glass on one sampled root, some chunky roots",0,,135,1,134,EM,283,282,10/11/2023,38,32,6,0,0,33,10/4/2024,53,53,0,0,86,BG in bag 10/11/23 100.57 g
79,Taxodium distichum,Baldcypress,BC,M,N,M-N-79,6,11/14/2023,Alive,12/20/2022,,31.6,2,,2/14/2023,3,1,4,32.2,2.9,2,,4/5/2023,1,0,1,32.8,2.98,5,,6/14/2023,2,0,2,65.5,3.97,5,,8/16/2023,5,110.4,9.15,5,,9/6/2023,13,125.3,11.09,5,,9/20/2023,120,120,50,,0,,49,1,47,EM,169,168,10/16/2023,13,12,1,0,0,12,10/4/2024,38,38,0,0,50,
81,Taxodium distichum,Baldcypress,BC,D,N,D-N-81,6,11/14/2023,Alive,12/20/2022,,21.1,3,,2/14/2023,2,4,6,22,2.1,2,,4/5/2023,1,0,1,21.4,2.16,5,LOTS of dark lichen,6/14/2023,1,0,1,77,5.19,5,,8/16/2023,0,129.9,11.57,5,D6,9/6/2023,2,139.9,13.58,5,,9/20/2023,104,104,49,,0,,48,1,47,EM,152,151,10/17/2023,17,17,0,0,0,18,10/4/2024,33,33,0,0,51,AG in bag 10/4/23 88.15 g
83,Taxodium distichum,Baldcypress,BC,G,N,G-N-83,6,11/14/2023,Alive,12/20/2022,,31.6,2,,2/14/2023,2,6,8,31.3,2.2,2,,4/5/2023,4,0,4,31.6,2.23,5,all buds,6/14/2023,2,0,2,66.4,4.74,5,,8/16/2023,2,122.5,9.81,5,"BC6,G6",9/6/2023,6,125.5,11.6,5,,9/20/2023,94,94,83,chunky roots,0,,80,2,79,EM,175,173,10/17/2023,21,18,3,0,0,18,10/4/2024,32,32,0,0,50,
87,Taxodium distichum,Baldcypress,BC,G,N,G-N-87,7,11/14/2023,Alive,12/20/2022,,29.1,3,,2/14/2023,4,1,5,29.3,2.4,3,,4/5/2023,3,0,3,28.8,2.19,5,all buds,6/14/2023,1,0,1,73.2,4.26,5,,8/16/2023,0,117.3,9.21,5,,9/6/2023,2,117.8,9.58,5,,9/20/2023,84,84,43,,0,,42,1,41,EM,126,125,10/17/2023,11,11,1,0,0,11,10/4/2024,33,33,0,0,44,
88,Taxodium distichum,Baldcypress,BC,M,N,M-N-88,7,11/14/2023,Alive,12/20/2022,,24.3,5,,2/14/2023,17,3,20,25.2,2.7,4,,4/5/2023,4,5,9,24.8,2.79,3,old growth,6/14/2023,3,0,3,54.1,4.89,5,,8/16/2023,4,115,9.83,5,BC7,9/6/2023,8,127.7,11.26,5,,9/20/2023,98,98,56,,0,,55,1,54,EM,153,152,10/17/2023,15,13,2,0,0,13,10/4/2024,32,32,0,0,45,
92,Taxodium distichum,Baldcypress,BC,M,N,M-N-92,8,11/14/2023,Alive,12/20/2022,,31.4,2,,2/14/2023,0,0,0,31.9,2.5,1,all leaves dropped,4/5/2023,2,0,2,31.7,2.27,5,,6/14/2023,2,0,2,86.5,5.41,5,,8/16/2023,5,135.5,10.56,5,,9/6/2023,5,152.5,13.02,5,,9/20/2023,124,124,75,some chunky roots,0,,74,1,72,EM,198,196,10/18/2023,22,22,1,0,0,22,10/4/2024,41,41,0,0,63,
96,Taxodium distichum,Baldcypress,BC,D,N,D-N-96,8,11/14/2023,Alive,12/20/2022,,31.6,2,,2/14/2023,1,1,2,31.2,2.2,3,,4/5/2023,26,0,26,34.9,3.06,4,"webbing- spider mites, lots of buds, thrips ",6/14/2023,8,0,8,76.2,7.01,5,,8/16/2023,22,118.4,14.63,5,D8,9/6/2023,31,128.6,17.46,5,,9/22/2023,216,216,116,,0,,116,1,114,EM,331,330,10/18/2023,32,31,0,0,0,32,10/4/2024,72,72,0,0,104,
98,Taxodium distichum,Baldcypress,BC,D,N,D-N-98,9,11/14/2023,Alive,12/20/2022,,24,4,,2/14/2023,1,9,10,24.7,2.3,2,,4/5/2023,0,0,0,24.6,2.35,,,6/14/2023,3,0,3,51.2,3.81,5,,8/16/2023,2,97.8,8.94,5,,9/6/2023,2,110.1,10.36,5,,9/22/2023,46,46,30,starting to brown,0,,30,2,29,EM,76,74,10/20/2023,7,7,0,0,0,8,10/4/2024,17,17,0,0,24,
